,Value,Value,Value,Value,Value
Model,GNB,NN,RFC,RFR,SVM
Season,,,,,
1,0.8,0.7833333333333333,0.725,0.7166666666666667,0.8666666666666667
2,0.7552447552447552,0.8251748251748252,0.7237762237762237,0.9090909090909091,0.8881118881118881
3,0.8983516483516484,0.7857142857142857,0.9368131868131868,0.8736263736263736,0.9148351648351648
4,0.510989010989011,0.9120879120879121,0.5879120879120879,0.8461538461538461,0.8269230769230769
5,0.6857142857142857,0.8813186813186813,0.7626373626373626,0.8945054945054945,0.8901098901098901
6,0.8021978021978022,0.9714285714285714,0.9010989010989011,0.9472527472527472,0.9384615384615385
7,0.6483516483516483,0.945054945054945,0.7714285714285715,0.843956043956044,0.8681318681318682
8,0.9320754716981132,0.8981132075471698,0.8679245283018868,0.8981132075471698,0.8566037735849057
